Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3149804,Perdizes (MG),857419,66344,303883,166064,236775,84353
3149903,Perdões (MG),507964,47034,24295,112951,241526,82159
3149952,Periquito (MG),99576,9450,2130,8595,44900,34501
3150000,Pescador (MG),40100,1224,3485,1251,12740,21400
3150109,Piau (MG),68530,2065,8847,28886,12288,16445
3150158,Piedade de Caratinga (MG),101790,6746,14798,5605,38633,36007
3150208,Piedade de Ponte Nova (MG),52696,2538,9707,2125,16800,21527
3150307,Piedade do Rio Grande (MG),78768,3513,20968,8419,24132,21736
3150406,Piedade dos Gerais (MG),64296,3085,12785,3201,19938,25287
3150505,Pimenta (MG),199399,25086,36019,6280,92039,39975
3150539,Pingo d'Água (MG),47979,1627,4287,2596,15056,24413
3150570,Pintópolis (MG),60998,2058,6009,2213,16678,34040
3150604,Piracema (MG),198276,8279,12397,83323,64112,30165
3150703,Pirajuba (MG),321713,33847,63870,102988,87091,33918
3150802,Piranga (MG),177722,8298,23611,7384,65974,72455
3150901,Piranguçu (MG),70591,4187,5166,16922,19681,24634
3151008,Piranguinho (MG),117767,8720,5848,12291,53835,37073
3151107,Pirapetinga (MG),515447,88128,4657,245279,126154,51229
3151206,Pirapora (MG),2371239,458221,39346,889557,718425,265690
3151305,Piraúba (MG),172589,12110,13906,29609,71078,45886
3151404,Pitangui (MG),552632,49286,54738,75716,263337,109556
3151503,Piumhi (MG),948473,99274,90537,104549,497375,156738
3151602,Planura (MG),507481,13431,62045,285343,87454,59209
3151701,Poço Fundo (MG),293198,23823,28826,37609,131571,71369
3151800,Poços de Caldas (MG),7666601,1219325,31508,1694992,3735831,984945
3151909,Pocrane (MG),93301,7273,12241,2765,36030,34993
3152006,Pompéu (MG),839018,83772,131289,142024,342896,139038
3152105,Ponte Nova (MG),1888773,255773,38161,328303,994734,271802
3152131,Ponto Chique (MG),42114,1539,3442,2700,12708,21724
3152170,Ponto dos Volantes (MG),96950,4755,5091,3865,29857,53382
3152204,Porteirinha (MG),394414,20563,43377,28671,149620,152183
3152303,Porto Firme (MG),99123,5157,10470,5866,33918,43713
3152402,Poté (MG),146738,6968,10783,8334,51887,68766
3152501,Pouso Alegre (MG),8789903,1562850,67400,1579729,4834166,745758
3152600,Pouso Alto (MG),262679,25492,60965,65477,80214,30530
3152709,Prados (MG),183081,11486,29601,49704,54944,37345
3152808,Prata (MG),1002192,91756,240093,140588,401476,128279
3152907,Pratápolis (MG),148519,8183,22814,18572,59177,39773
3153004,Pratinha (MG),86677,7301,32948,4946,20428,21054
3153103,Presidente Bernardes (MG),53187,2234,6682,2493,15989,25789
3153202,Presidente Juscelino (MG),51953,3220,6111,11655,11346,19621
3153301,Presidente Kubitschek (MG),29912,928,1768,863,8963,17390
3153400,Presidente Olegário (MG),445132,26829,149418,25424,151885,91576
3153509,Alto Jequitibá (MG),89518,5189,10346,4853,34053,35077
3153608,Prudente de Morais (MG),169701,20356,1830,31544,70066,45905
3153707,Quartel Geral (MG),55741,2742,15645,2822,14703,19829
3153806,Queluzito (MG),32137,1122,6358,1376,9325,13955
3153905,Raposos (MG),155975,5829,825,24633,57239,67449
3154002,Raul Soares (MG),341217,26154,29720,23536,159088,102718
3154101,Recreio (MG),107581,5207,5875,3440,45803,47256
3154150,Reduto (MG),88201,4403,5261,7310,39489,31738
3154200,Resende Costa (MG),180447,9661,37395,16184,68971,48237
3154309,Resplendor (MG),239623,15288,12479,13693,120581,77582
3154408,Ressaquinha (MG),221197,25046,20453,90906,59436,25355
3154457,Riachinho (MG),110035,4319,30886,3811,34871,36147
3154507,Riacho dos Machados (MG),326686,14299,48128,161912,58454,43893
3154606,Ribeirão das Neves (MG),4345291,556806,3240,465229,2056913,1263103
3154705,Ribeirão Vermelho (MG),120646,13912,2429,6706,76277,21322
3154804,Rio Acima (MG),210025,9142,513,60089,74062,66219
3154903,Rio Casca (MG),212068,13377,19132,13127,104650,61780
3155009,Rio Doce (MG),50230,4950,3205,9881,12564,19630
3155108,Rio do Prado (MG),45598,1794,2873,1178,15006,24746
3155207,Rio Espera (MG),49784,1803,8022,1786,14360,23812
3155306,Rio Manso (MG),102913,9481,11638,6836,48136,26822
3155405,Rio Novo (MG),110955,7095,5469,9384,49941,39066
3155504,Rio Paranaíba (MG),572797,40558,241622,36769,188714,65134
3155603,Rio Pardo de Minas (MG),270972,10619,44848,9738,79582,126185
3155702,Rio Piracicaba (MG),774127,17319,16580,473224,199948,67057
3155801,Rio Pomba (MG),356517,34230,12653,59545,177105,72985
3155900,Rio Preto (MG),61473,2442,3704,3364,26264,25699
3156007,Rio Vermelho (MG),115854,4708,15259,3773,39464,52650
3156106,Ritápolis (MG),67135,2211,14078,9093,20315,21438
3156205,Rochedo de Minas (MG),63649,6417,1691,22808,18557,14176
3156304,Rodeiro (MG),402192,44242,36049,204071,82952,34880
3156403,Romaria (MG),121295,5030,56119,11307,28167,20673
3156452,Rosário da Limeira (MG),46167,2067,3089,2815,14087,24110
3156502,Rubelita (MG),59785,2025,7081,6931,14911,28837
3156601,Rubim (MG),91961,3437,6656,3645,31422,46800
3156700,Sabará (MG),3057928,247855,2270,1024004,1232050,551749
3156809,Sabinópolis (MG),186568,9486,34526,4927,73212,64416
3156908,Sacramento (MG),1318734,104306,279450,363372,427434,144172
3157005,Salinas (MG),570644,49354,17374,47581,283924,172412
3157104,Salto da Divisa (MG),100327,4389,7548,22864,30707,34818
3157203,Santa Bárbara (MG),868068,49017,13419,331184,328841,145607
3157252,Santa Bárbara do Leste (MG),95636,7319,8729,4469,39185,35935
3157278,Santa Bárbara do Monte Verde (MG),51633,1455,19954,2326,10496,17402
3157302,Santa Bárbara do Tugúrio (MG),60398,4549,5702,3173,26558,20416
3157336,Santa Cruz de Minas (MG),95440,6835,44,6170,47603,34788
3157377,Santa Cruz de Salinas (MG),40702,1923,2733,1163,13315,21569
3157401,Santa Cruz do Escalvado (MG),55103,3096,7786,7756,12521,23944
3157500,Santa Efigênia de Minas (MG),45690,1473,6608,1854,13303,22452
3157609,Santa Fé de Minas (MG),42462,2018,7194,1787,11327,20136
3157658,Santa Helena de Minas (MG),49068,1413,4122,1240,13826,28468
3157708,Santa Juliana (MG),745315,75241,142739,218057,242765,66513
3157807,Santa Luzia (MG),4131757,511187,2528,1252121,1524273,841648
3157906,Santa Margarida (MG),215973,9193,65590,7936,66622,66632
3158003,Santa Maria de Itabira (MG),180798,16637,15108,19572,82006,47475
3158102,Santa Maria do Salto (MG),43085,1410,2644,1346,12684,25001
3158201,Santa Maria do Suaçuí (MG),143266,7200,10041,6525,61809,57692
3158300,Santana da Vargem (MG),126796,10633,17146,9600,56234,33182
3158409,Santana de Cataguases (MG),42378,1790,4291,2333,13916,20049
3158508,Santana de Pirapama (MG),95719,4578,26854,7237,23782,33268
3158607,Santana do Deserto (MG),41464,1602,2369,1807,14019,21667
3158706,Santana do Garambéu (MG),30822,1152,4738,864,8800,15267
3158805,Santana do Jacaré (MG),84739,6148,4902,20834,30004,22851
3158904,Santana do Manhuaçu (MG),101033,6647,18202,5833,34021,36330
3158953,Santana do Paraíso (MG),745066,87760,3526,217478,296445,139858
3159001,Santana do Riacho (MG),80674,5273,1746,5168,45338,23149
3159100,Santana dos Montes (MG),40570,1315,3830,2340,12920,20164
3159209,Santa Rita de Caldas (MG),168216,11336,29696,29623,58092,39470
3159308,Santa Rita de Jacutinga (MG),62623,3661,7522,2151,25226,24062
3159357,Santa Rita de Minas (MG),89103,6996,5619,9572,33699,33218
3159407,Santa Rita de Ibitipoca (MG),67361,5038,9989,15781,17574,18978
3159506,Santa Rita do Itueto (MG),82883,4691,20980,7432,22072,27708
3159605,Santa Rita do Sapucaí (MG),1649992,291723,29308,561474,586120,181366
3159704,Santa Rosa da Serra (MG),49841,1732,9924,4140,14510,19535
3159803,Santa Vitória (MG),668036,53627,135115,104513,237854,136926
3159902,Santo Antônio do Amparo (MG),273193,23782,25327,13769,129483,80831
3160009,Santo Antônio do Aventureiro (MG),49695,1658,10035,2704,16213,19085
3160108,Santo Antônio do Grama (MG),71773,13405,6651,12271,17791,21655
3160207,Santo Antônio do Itambé (MG),39139,1320,5363,1320,10398,20737
3160306,Santo Antônio do Jacinto (MG),96688,3904,5812,4553,32591,49827
3160405,Santo Antônio do Monte (MG),611529,37193,177293,48682,227506,120855
3160454,Santo Antônio do Retiro (MG),55793,1686,3134,2228,14701,34043
3160504,Santo Antônio do Rio Abaixo (MG),23949,891,2472,738,7620,12227
3160603,Santo Hipólito (MG),36227,1732,5213,1850,10607,16826
3160702,Santos Dumont (MG),1008420,167935,11700,253154,390308,185322
3160801,São Bento Abade (MG),67078,2853,14020,3656,20590,25959
3160900,São Brás do Suaçuí (MG),63170,3785,2061,3257,29146,24921
3160959,São Domingos das Dores (MG),67270,5954,4510,2439,26537,27829
3161007,São Domingos do Prata (MG),261444,24795,21411,28336,113599,73303
3161056,São Félix de Minas (MG),38632,1742,2907,2353,12109,19520
3161106,São Francisco (MG),532001,30165,39141,31918,211110,219667
3161205,São Francisco de Paula (MG),91306,6397,12146,5207,38794,28762
3161304,São Francisco de Sales (MG),139626,7344,48806,7978,42691,32807
3161403,São Francisco do Glória (MG),52508,2873,5665,1969,18200,23802
3161502,São Geraldo (MG),220891,24901,9198,79353,57662,49777
3161601,São Geraldo da Piedade (MG),36336,1158,3237,988,10930,20023
3161650,São Geraldo do Baixio (MG),41944,1545,4075,1957,12854,21513
3161700,São Gonçalo do Abaeté (MG),231425,21045,52458,17380,100073,40469
3161809,São Gonçalo do Pará (MG),239801,22818,18302,73810,72120,52752
3161908,São Gonçalo do Rio Abaixo (MG),3418342,72092,6361,2364627,831790,143472
3162005,São Gonçalo do Sapucaí (MG),650415,75442,52581,111425,302671,108295
3162104,São Gotardo (MG),945190,105720,70113,90600,525894,152863
3162203,São João Batista do Glória (MG),160622,8771,46732,14165,49298,41656
3162252,São João da Lagoa (MG),48442,1871,8927,1443,11844,24358
3162302,São João da Mata (MG),42408,2140,8269,1485,14332,16181
3162401,São João da Ponte (MG),215101,10893,17515,9803,70263,106628
3162450,São João das Missões (MG),83661,2496,4046,2622,19513,54985
3162500,São João del Rei (MG),2440131,273069,135043,375987,1272581,383453
3162559,São João do Manhuaçu (MG),127379,8554,12421,6380,49365,50658
3162575,São João do Manteninha (MG),66924,3527,3154,7532,25538,27172
3162609,São João do Oriente (MG),94145,5699,5504,12929,36596,33416
3162658,São João do Pacuí (MG),35494,864,3715,1136,7773,22005
3162708,São João do Paraíso (MG),235063,12863,30370,16352,80331,95147
3162807,São João Evangelista (MG),205972,14900,18538,12187,96652,63694
3162906,São João Nepomuceno (MG),429145,29032,10952,85620,194702,108839
3162922,São Joaquim de Bicas (MG),579834,75620,32808,131969,195228,144208
3162948,São José da Barra (MG),791805,9361,28927,660242,55004,38270
3162955,São José da Lapa (MG),517691,69231,8772,158244,172851,108593
3163003,São José da Safira (MG),42218,1948,1595,2585,14164,21926
3163102,São José da Varginha (MG),92704,3951,42102,2879,19132,24640
3163201,São José do Alegre (MG),49653,3103,3499,3125,19215,20711
3163300,São José do Divino (MG),39304,1238,4100,1301,13537,19127
3163409,São José do Goiabal (MG),55797,2128,6306,2559,18188,26616
3163508,São José do Jacuri (MG),77688,4527,11484,11511,20882,29284
3163607,São José do Mantimento (MG),31849,965,3646,1404,9432,16402
3163706,São Lourenço (MG),1118880,99793,1460,74156,710711,232759
3163805,São Miguel do Anta (MG),80210,3716,15939,4391,23720,32444
3163904,São Pedro da União (MG),82483,4576,22100,3664,28103,24040
3164001,São Pedro dos Ferros (MG),113851,8521,15641,16202,39483,34005
3164100,São Pedro do Suaçuí (MG),66729,4457,6138,9007,23128,23999
3164209,São Romão (MG),151919,8403,43455,9714,37759,52588
3164308,São Roque de Minas (MG),238606,24799,57018,40140,81983,34666
3164407,São Sebastião da Bela Vista (MG),449272,94736,9068,52308,261595,31566
3164431,São Sebastião da Vargem Alegre (MG),52566,1552,3937,14261,14383,18434
3164472,São Sebastião do Anta (MG),66073,2507,6792,3451,22671,30653
3164506,São Sebastião do Maranhão (MG),81096,2874,11341,2850,23520,40511
3164605,São Sebastião do Oeste (MG),363996,43823,63781,127908,91255,37230
3164704,São Sebastião do Paraíso (MG),1958705,245588,68010,374020,953517,317570
3164803,São Sebastião do Rio Preto (MG),20766,498,2251,652,5456,11908
3164902,São Sebastião do Rio Verde (MG),31918,1462,3221,2617,10434,14183
3165008,São Tiago (MG),176719,14309,34026,18535,64143,45707
3165107,São Tomás de Aquino (MG),117377,7367,23150,7952,43874,35034
3165206,São Thomé das Letras (MG),104828,6494,14806,6648,45827,31053
3165305,São Vicente de Minas (MG),165751,16270,29670,23732,61146,34932
3165404,Sapucaí-Mirim (MG),111360,10495,9346,14691,46268,30560
3165503,Sardoá (MG),61207,2966,6560,2474,20219,28988
3165537,Sarzedo (MG),1069251,122227,1915,451207,330185,163717
3165552,Setubinha (MG),90098,2748,18421,2302,19456,47172
3165560,Sem-Peixe (MG),31682,962,3701,2304,9032,15683
3165578,Senador Amaral (MG),67946,3634,8680,3298,25854,26481
3165602,Senador Cortes (MG),33011,1755,3716,3902,10188,13449
3165701,Senador Firmino (MG),95739,5588,5838,7448,42159,34706
3165800,Senador José Bento (MG),22574,754,3822,834,6611,10553
3165909,Senador Modestino Gonçalves (MG),95281,1992,54571,3652,13537,21530
3166006,Senhora de Oliveira (MG),70520,3175,10751,1907,28020,26667
3166105,Senhora do Porto (MG),36352,782,7336,1714,7782,18737
3166204,Senhora dos Remédios (MG),89071,3466,9616,5519,27708,42762
3166303,Sericita (MG),64889,2924,5218,5425,20415,30907
3166402,Seritinga (MG),40055,2237,8272,3222,12953,13369
3166501,Serra Azul de Minas (MG),34633,999,3167,1367,8640,20460
3166600,Serra da Saudade (MG),19107,576,3794,998,4352,9387
3166709,Serra dos Aimorés (MG),75308,3507,6985,3636,24439,36742
3166808,Serra do Salitre (MG),573116,54360,146721,165552,144193,62290
3166907,Serrania (MG),123234,8888,14326,17189,48649,34181
3166956,Serranópolis de Minas (MG),37220,1085,2858,1665,8135,23478
3167004,Serranos (MG),29297,918,6430,868,8299,12782
3167103,Serro (MG),259497,18060,17274,14291,122915,86957
3167202,Sete Lagoas (MG),9552666,1447973,22871,3158204,3814395,1109223
3167301,Silveirânia (MG),28011,859,3613,1316,8174,14049
3167400,Silvianópolis (MG),121329,7169,18678,27964,37864,29654
3167509,Simão Pereira (MG),73205,3154,3149,34463,14446,17993
3167608,Simonésia (MG),195924,13480,18854,7792,77621,78177
3167707,Sobrália (MG),55776,2053,5290,2487,19304,26642
3167806,Soledade de Minas (MG),67075,2723,7674,4341,23408,28929
3167905,Tabuleiro (MG),56519,4264,3982,8182,20631,19460
3168002,Taiobeiras (MG),472507,30353,44777,35585,220229,141563
3168051,Taparuba (MG),38331,1342,5510,2082,10725,18671
3168101,Tapira (MG),455512,47048,63242,222224,79636,43361
3168200,Tapiraí (MG),36390,916,13750,1384,7508,12831
3168309,Taquaraçu de Minas (MG),49776,2268,4355,3634,17195,22324
3168408,Tarumirim (MG),151436,6878,13033,7927,63524,60074
3168507,Teixeiras (MG),148698,7968,16237,10868,63253,50371
3168606,Teófilo Otoni (MG),2698122,239499,42830,308662,1536522,570608
3168705,Timóteo (MG),3165898,400891,1000,1297259,1064035,402713
3168804,Tiradentes (MG),184389,11795,3158,13334,117475,38627
3168903,Tiros (MG),224142,21374,62638,28677,77540,33914
3169000,Tocantins (MG),295600,26900,27334,33100,136810,71456
3169059,Tocos do Moji (MG),52993,2163,13179,2057,15065,20530
3169109,Toledo (MG),81571,5590,5873,11771,30701,27635
3169208,Tombos (MG),97309,5648,6958,3950,43027,37725
3169307,Três Corações (MG),2455112,342737,135453,536359,1106095,334468
3169356,Três Marias (MG),2471143,337553,94203,1374600,501813,162975
3169406,Três Pontas (MG),1261792,139282,57371,204269,608207,252664
3169505,Tumiritinga (MG),63791,2242,7808,4328,19522,29892
3169604,Tupaciguara (MG),692441,55031,145093,98564,271321,122432
3169703,Turmalina (MG),372974,26921,101521,23953,134339,86240
3169802,Turvolândia (MG),99896,5178,33508,6090,30585,24537
3169901,Ubá (MG),3052950,319496,21196,915806,1344014,452439
3170008,Ubaí (MG),101329,3868,7960,4131,34422,50948
3170057,Ubaporanga (MG),135762,8048,13406,11400,49898,53010
3170107,Uberaba (MG),15541491,2213145,555790,4137354,7167921,1467281
3170206,Uberlândia (MG),37628201,7971372,510848,8440582,17594855,3110543
3170305,Umburatiba (MG),33021,1201,5035,1688,8654,16442
3170404,Unaí (MG),2935116,248138,782041,263538,1225905,415493
3170438,União de Minas (MG),105843,3714,47509,6254,24871,23495
3170479,Uruana de Minas (MG),51990,2426,11981,1947,15927,19709
3170503,Urucânia (MG),206035,18077,29750,50834,62143,45231
3170529,Urucuia (MG),134063,7312,20083,5455,33908,67305
3170578,Vargem Alegre (MG),70440,5499,2133,3831,29332,29644
3170602,Vargem Bonita (MG),49408,2157,14492,2718,14837,15203
3170651,Vargem Grande do Rio Pardo (MG),50847,1437,9369,3350,12069,24622
3170701,Varginha (MG),6297672,1195846,26688,1181733,3287281,606124
3170750,Varjão de Minas (MG),149963,6740,56047,13730,40084,33363
3170800,Várzea da Palma (MG),812073,130683,58100,213802,243460,166029
3170909,Varzelândia (MG),167202,9171,4693,6824,65907,80606
3171006,Vazante (MG),798954,91586,118229,250993,243383,94762
3171030,Verdelândia (MG),85873,3557,20198,4177,18002,39940
3171071,Veredinha (MG),98117,2748,36253,13490,18587,27038
3171105,Veríssimo (MG),112428,3313,57666,5055,22872,23522
3171154,Vermelho Novo (MG),41394,1292,5541,1430,10437,22695
3171204,Vespasiano (MG),2506401,380971,530,640489,936695,547716
3171303,Viçosa (MG),1749051,155688,16182,171482,1059933,345766
3171402,Vieiras (MG),37437,1246,4832,1698,10415,19245
3171501,Mathias Lobato (MG),37475,1888,2487,1589,12276,19235
3171600,Virgem da Lapa (MG),119205,6021,5599,6609,43147,57829
3171709,Virgínia (MG),130005,4878,26931,4889,56797,36510
3171808,Virginópolis (MG),160789,10109,22494,6010,76399,45776
3171907,Virgolândia (MG),51078,1779,6206,2058,15215,25820
3172004,Visconde do Rio Branco (MG),1283708,146274,11206,463952,477431,184844
3172103,Volta Grande (MG),67601,6390,6378,3561,24733,26538
3172202,Wenceslau Braz (MG),28122,1118,3526,2765,6916,13796
3200102,Afonso Cláudio (ES),443105,26083,72466,31752,168803,144001
3200136,Águia Branca (ES),165483,13153,30168,15266,53858,53039
3200169,Água Doce do Norte (ES),138324,7025,20105,10054,40905,60235
3200201,Alegre (ES),476962,23810,40174,86086,196068,130824
3200300,Alfredo Chaves (ES),359562,32402,63191,61025,129161,73784
3200359,Alto Rio Novo (ES),87513,3794,13911,4229,23784,41795
3200409,Anchieta (ES),1005451,57483,25767,366320,331840,224041
3200508,Apiacá (ES),99253,6874,10462,7140,35855,38922
3200607,Aracruz (ES),5416659,890567,57861,2396160,1512019,560051
3200706,Atílio Vivácqua (ES),267864,45046,10835,60002,87729,64252
3200805,Baixo Guandu (ES),661517,41029,28212,227449,218540,146287
3200904,Barra de São Francisco (ES),816949,80206,41149,170950,323148,201496
3201001,Boa Esperança (ES),230084,17268,33027,22209,84493,73086
3201100,Bom Jesus do Norte (ES),176859,17778,3004,20964,85446,49667
3201159,Brejetuba (ES),183812,8214,46808,16347,51898,60545
3201209,Cachoeiro de Itapemirim (ES),4914368,592398,45193,842683,2537215,896878
3201308,Cariacica (ES),10182197,2793503,13093,898734,5051689,1425177
3201407,Castelo (ES),893288,102343,63782,173515,371022,182626
3201506,Colatina (ES),3644455,438050,72024,800593,1743299,590489
3201605,Conceição da Barra (ES),473100,46885,55912,48371,162586,159347
3201704,Conceição do Castelo (ES),203793,17171,21634,13966,89347,61675
3201803,Divino de São Lourenço (ES),63881,2889,11201,4788,19086,25917
3201902,Domingos Martins (ES),758915,45743,133625,99150,317303,163094
3202009,Dores do Rio Preto (ES),123204,9201,19728,10758,47167,36350
3202108,Ecoporanga (ES),292881,13383,55216,16922,100743,106617
3202207,Fundão (ES),393009,34338,25452,78716,144730,109773
3202256,Governador Lindenberg (ES),274508,29008,40544,10699,134107,60150
3202306,Guaçuí (ES),535413,39017,27672,63383,266198,139143
3202405,Guarapari (ES),2322475,191891,49535,252311,1265392,563346
3202454,Ibatiba (ES),309054,19079,29636,15283,129470,115586
3202504,Ibiraçu (ES),281349,25816,13640,40595,137292,64006
3202553,Ibitirama (ES),107803,4806,23923,3729,30826,44519
3202603,Iconha (ES),320387,54423,26947,13368,150373,75275
3202652,Irupi (ES),168326,10480,24786,7435,59882,65743
3202702,Itaguaçu (ES),259272,12548,75536,11893,91197,68098
3202801,Itapemirim (ES),4818609,81562,74523,3081617,1216573,364336
3202900,Itarana (ES),209954,13853,27460,33079,83819,51743
3203007,Iúna (ES),429349,33201,47607,29222,191432,127887
3203056,Jaguaré (ES),631834,34830,77857,153946,209284,155917
3203106,Jerônimo Monteiro (ES),138487,6892,14140,7460,52365,57630
3203130,João Neiva (ES),416909,58747,11191,100459,170846,75665
3203163,Laranja da Terra (ES),139127,7751,32083,7954,37746,53593
3203205,Linhares (ES),6348138,892484,225383,1943310,2384980,901981
3203304,Mantenópolis (ES),150276,5475,22660,7911,42744,71486
3203320,Marataízes (ES),5274390,73679,86227,3486987,1352992,274505
3203346,Marechal Floriano (ES),399206,34074,89627,42745,146824,85936
3203353,Marilândia (ES),280959,26094,36038,18261,136898,63667
3203403,Mimoso do Sul (ES),450348,36204,51867,57261,188610,116407
3203502,Montanha (ES),341353,29664,50937,34059,136386,90308
3203601,Mucurici (ES),77146,2119,20096,5061,16873,32996
3203700,Muniz Freire (ES),271459,15055,53536,15709,93177,93982
3203809,Muqui (ES),202846,12523,20242,8819,89982,71280
3203908,Nova Venécia (ES),1006719,95052,78011,105192,502152,226311
3204005,Pancas (ES),248474,10945,44227,12100,83003,98199
3204054,Pedro Canário (ES),314364,15156,28487,40595,110507,119619
3204104,Pinheiros (ES),602683,75429,80799,92867,219010,134578
3204203,Piúma (ES),665238,24382,12574,281344,231252,115686
3204252,Ponto Belo (ES),83588,3243,13065,5284,24131,37865
3204302,Presidente Kennedy (ES),5380561,54987,56598,3804766,1319831,144379
3204351,Rio Bananal (ES),384545,28772,91693,31823,125509,106747
3204401,Rio Novo do Sul (ES),195823,18491,17449,30395,70219,59268
3204500,Santa Leopoldina (ES),202014,6360,69478,17202,50824,58150
3204559,Santa Maria de Jetibá (ES),1478208,93433,724601,60974,396204,202995
3204609,Santa Teresa (ES),470933,30078,73384,38467,216452,112551
3204658,São Domingos do Norte (ES),456648,62736,23263,239026,85386,46237
3204708,São Gabriel da Palha (ES),633029,53538,42928,89395,278058,169109
3204807,São José do Calçado (ES),172371,10457,11857,29097,69714,51246
3204906,São Mateus (ES),2366312,220237,167855,283071,1096661,598488
3204955,São Roque do Canaã (ES),178108,11492,29865,11457,69067,56226
3205002,Serra (ES),25865234,5832739,20753,5674331,12054588,2282822
3205010,Sooretama (ES),521735,52134,54712,115576,156151,143161
3205036,Vargem Alta (ES),308426,25373,35642,47829,103856,95726
3205069,Venda Nova do Imigrante (ES),608497,74612,53888,74080,289384,116533
3205101,Viana (ES),2689279,599095,17184,426506,1312849,333645
3205150,Vila Pavão (ES),116069,6020,23556,6224,32884,47385
3205176,Vila Valério (ES),290737,18644,78141,17519,105907,70525
3205200,Vila Velha (ES),12859638,2173839,17325,1451424,7258122,1958929
3205309,Vitória (ES),21614893,5817612,16858,1558510,12221583,2000330
3300100,Angra dos Reis (RJ),9825062,522003,48415,3140850,4360960,1752835
3300159,Aperibé (RJ),195238,11474,6443,13461,72423,91438
3300209,Araruama (RJ),3678778,244742,42596,965213,1452947,973280
3300225,Areal (RJ),354214,51571,2601,70315,114670,115057
3300233,Armação dos Búzios (RJ),2627537,96339,9680,978995,1162329,380195
3300258,Arraial do Cabo (RJ),2556648,55515,17821,1398884,786692,297736
3300308,Barra do Piraí (RJ),2112761,165785,25810,227252,996010,697903
3300407,Barra Mansa (RJ),5487099,502794,45436,779171,2843029,1316669
3300456,Belford Roxo (RJ),8065142,754781,2949,1061940,2914164,3331308
3300506,Bom Jardim (RJ),697294,72243,70398,108149,235869,210635
3300605,Bom Jesus do Itabapoana (RJ),728730,56194,34720,74477,290828,272510
3300704,Cabo Frio (RJ),11523592,405077,38917,4707519,4422154,1949925
3300803,Cachoeiras de Macacu (RJ),1138773,87476,49233,199451,340301,462311
3300902,Cambuci (RJ),353551,40755,64602,31805,89018,127371
3300936,Carapebus (RJ),453135,13945,7395,138396,115750,177649
3300951,Comendador Levy Gasparian (RJ),423899,38046,3950,180577,119845,81481
3301009,Campos dos Goytacazes (RJ),29097631,1029710,200909,13606952,10287483,3972577
3301108,Cantagalo (RJ),729922,49487,23709,285119,201133,170474
3301157,Cardoso Moreira (RJ),293954,21054,15903,53496,87008,116493
3301207,Carmo (RJ),471020,50240,15005,110642,141635,153499
3301306,Casimiro de Abreu (RJ),2061734,59789,8731,941007,655494,396714
3301405,Conceição de Macabu (RJ),375966,22712,10976,13285,145116,183878
3301504,Cordeiro (RJ),398169,19464,5490,42253,157042,173919
3301603,Duas Barras (RJ),214572,18758,22532,16404,55738,101141
3301702,Duque de Caxias (RJ),45332366,6488421,13570,11142986,21134167,6553222
3301801,Engenheiro Paulo de Frontin (RJ),251599,17228,5870,22724,78562,127215
3301850,Guapimirim (RJ),1061378,70656,19235,86020,405696,479772
3301876,Iguaba Grande (RJ),536177,25701,2218,42113,221840,244304
3301900,Itaboraí (RJ),4928343,417679,10328,630350,2147328,1722657
3302007,Itaguaí (RJ),7948883,723625,14202,630323,5435371,1145362
3302056,Italva (RJ),331377,20250,17986,62812,105695,124635
3302106,Itaocara (RJ),553386,47565,48521,45306,230263,181731
3302205,Itaperuna (RJ),3096745,225389,46453,409142,1634086,781675
3302254,Itatiaia (RJ),4474844,1614612,4762,888570,1641535,325366
3302270,Japeri (RJ),1436574,107759,7296,147533,449797,724188
3302304,Laje do Muriaé (RJ),145704,9754,7756,20610,38687,68897
3302403,Macaé (RJ),15093203,2105346,51287,3796869,6162300,2977399
3302452,Macuco (RJ),169699,19298,3052,27478,59939,59931
3302502,Magé (RJ),4253438,236575,51244,445619,1787596,1732403
3302601,Mangaratiba (RJ),2469678,129308,17868,119163,1722853,480486
3302700,Maricá (RJ),37522727,436158,12322,25405741,10108562,1559945
3302809,Mendes (RJ),350195,22186,607,25995,144410,156996
3302858,Mesquita (RJ),2318657,115240,2387,123452,956977,1120602
3302908,Miguel Pereira (RJ),614638,35256,5113,40177,313126,220966
3303005,Miracema (RJ),569938,40326,14315,64534,230995,219768
3303104,Natividade (RJ),297413,19275,14227,20892,113705,129313
3303203,Nilópolis (RJ),2904426,170928,0,153783,1498824,1080890
3303302,Niterói (RJ),46553203,2740547,20361,20370587,18961627,4460081
3303401,Nova Friburgo (RJ),5358173,464193,92040,556474,2837542,1407923
3303500,Nova Iguaçu (RJ),17424682,1491549,7100,1468631,8918528,5538874
3303609,Paracambi (RJ),982350,99829,3117,105664,413715,360025
3303708,Paraíba do Sul (RJ),1004302,91622,43251,125624,412669,331136
3303807,Paraty (RJ),2759113,96045,34169,1211529,1024777,392593
3303856,Paty do Alferes (RJ),557211,48101,23678,53744,201999,229689
3303906,Petrópolis (RJ),13643578,1639134,50903,3222869,6476416,2254256
3303955,Pinheiral (RJ),716233,75603,4375,201412,233764,201079
3304003,Piraí (RJ),2229154,229388,15111,1250613,458807,275235
3304102,Porciúncula (RJ),348377,26389,25300,25450,122181,149057
