Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2616407,Vitória de Santo Antão (PE),4184120,703190,73264,1145711,1661563,600391
2616506,Xexéu (PE),127056,7404,6898,2482,35965,74307
2700102,Água Branca (AL),161084,5650,17819,8473,42304,86838
2700201,Anadia (AL),202215,5395,65785,10684,41225,79126
2700300,Arapiraca (AL),4975188,538153,714756,382188,2470541,869549
2700409,Atalaia (AL),936762,21163,498350,43362,171811,202075
2700508,Barra de Santo Antônio (AL),185001,3407,70486,4640,35284,71184
2700607,Barra de São Miguel (AL),215073,10087,40848,18338,101559,44241
2700706,Batalha (AL),171642,10328,15057,12723,58403,75131
2700805,Belém (AL),106380,1212,68217,3274,13934,19743
2700904,Belo Monte (AL),100931,1590,27751,24416,16019,31156
2701001,Boca da Mata (AL),354465,15416,117107,31188,76861,113893
2701100,Branquinha (AL),506554,1777,400047,10373,42221,52135
2701209,Cacimbinhas (AL),102072,3126,18027,4186,25796,50937
2701308,Cajueiro (AL),180158,4572,25719,5287,44873,99708
2701357,Campestre (AL),62839,918,15739,1610,12607,31965
2701407,Campo Alegre (AL),510191,40199,88564,73353,103494,204581
2701506,Campo Grande (AL),93604,4113,15936,8148,18876,46530
2701605,Canapi (AL),126730,3381,11208,3779,28805,79557
2701704,Capela (AL),191582,6431,33681,12282,51586,87602
2701803,Carneiros (AL),66809,1870,2963,2363,16355,43258
2701902,Chã Preta (AL),114503,1268,63010,2825,15081,32319
2702009,Coité do Nóia (AL),131489,2781,55879,3805,25603,43420
2702108,Colônia Leopoldina (AL),265004,10994,80173,18008,61157,94672
2702207,Coqueiro Seco (AL),75404,1096,27379,2778,12665,31485
2702306,Coruripe (AL),1404934,146808,442295,278042,298750,239038
2702355,Craíbas (AL),250010,7638,69764,16368,54504,101736
2702405,Delmiro Gouveia (AL),574186,33971,29911,45532,251799,212973
2702504,Dois Riachos (AL),75997,2355,8033,2399,17229,45981
2702553,Estrela de Alagoas (AL),117594,2662,14504,4046,27809,68573
2702603,Feira Grande (AL),329744,3765,171531,11134,47444,95870
2702702,Feliz Deserto (AL),103435,3379,50400,8762,16118,24775
2702801,Flexeiras (AL),214698,6282,104424,6338,47818,49836
2702900,Girau do Ponciano (AL),380601,9513,94878,13987,91910,170313
2703007,Ibateguara (AL),141457,2606,46375,4435,27915,60125
2703106,Igaci (AL),220052,4787,52467,7962,51633,103203
2703205,Igreja Nova (AL),386802,30233,128217,60643,63070,104639
2703304,Inhapi (AL),133094,4562,13189,4318,34581,76443
2703403,Jacaré dos Homens (AL),53560,1003,10078,1969,10969,29541
